date       | count | men_loc(mention+location)
------------+-------+----------------------------------------------
 2017-12-30 |    17 |                     SrBachchanhubli, dharwad
 2017-12-30 |     5 |   narendramodiNawalgarh, jhunjhunu rajasthan
 2017-12-30 |     5 |                            narendramodiIndia
 2017-12-30 |     4 |                       Swamy39Berlin, Germany
 2017-12-30 |     4 |                                  SrBachchan 
 2017-12-30 |     4 |                    BJP4IndiaNew Delhi, India
 2017-12-30 |     3 |                            ndtvKerala, India
 2017-12-30 |     3 |        narendramodiBasti uttar pradesh india
 2017-12-30 |     3 |                                 Swamy39India
 2017-12-30 |     3 |                            SushmaSwarajIndia
 2017-12-30 |     3 |                    SrBachchanहोशियारपुर, भारत
 2017-12-30 |     3 |              ShatruganSinhaPune, Maharashtra
 2017-12-30 |     3 |       PMOIndiaNawalgarh, jhunjhunu rajasthan
 2017-12-30 |     3 |                    NitishKumarSasaram, India
 2017-12-30 |     3 |                MaryamNSharifLahore, Pakistan
 2017-12-30 |     3 |                  ImranKhanPTILondon, England
 2017-12-30 |     3 |                       INCIndiaJodhpur, India
 2017-12-30 |     3 |                              BJP4Indiajaipur
 2017-12-30 |     3 |                       AmitShahKatihar, India
 2017-12-30 |     3 |                          ANINew Delhi, India
 2017-12-30 |     3 |                                     ANIIndia
 2017-12-30 |     2 |                  varungandhi80नई दिल्ली, भारत
 2017-12-30 |     2 |                    timesofindiaKerala, India
 2017-12-30 |     2 |                               the_hinduindia
 2017-12-30 |     2 |                          sureshpprabhujaipur
 2017-12-30 |     2 |                                rsprasadTheni
 2017-12-30 |     2 |                   rajnathsinghनई दिल्ली, भारत
 2017-12-30 |     2 |                    nsitharamanनई दिल्ली, भारत
 2017-12-30 |     2 |                          nitin_gadkarijaipur
 2017-12-30 |     2 |                     ndtvRohtak, 124001 India
 2017-12-30 |     2 |                             ndtvRatia, India
 2017-12-30 |     2 |                                   ndtvMumbai
 2017-12-30 |     2 |                   narendramodiनई दिल्ली, भारत
 2017-12-30 |     2 |                narendramodividisha mp India 
 2017-12-30 |     2 |                  mygovindiavidisha mp India 
 2017-12-30 |     2 |                   mygovMahavidisha mp India 
 2017-12-30 |     2 |                      msisodiaBilaspur, India
 2017-12-30 |     2 |    ipakistaneeخانقاہ قادریہ نقشبندی دریاشریف
 2017-12-30 |     2 |                    arunjaitleyनई दिल्ली, भारत
 2017-12-30 |     2 |                           aajtakRatia, India
 2017-12-30 |     2 |                               ZeeNewsKOLKATA
 2017-12-30 |     2 |                                TimesNowIndia
 2017-12-30 |     2 |                   SushmaSwarajनई दिल्ली, भारत
 2017-12-30 |     2 |       SrBachchan गेराई  G.T रोड गोपीगंज भदोही 
 2017-12-30 |     2 |                           POTUSTweeter Land 
 2017-12-30 |     2 |                       PMOIndiaनई दिल्ली, भारत
 2017-12-30 |     2 |                    PMOIndiavidisha mp India 
 2017-12-30 |     2 |                        PMOIndiaLas Vegas, NV
 2017-12-30 |     2 |                                PMOIndiaIndia
 2017-12-30 |     2 |            PMOIndiaBasti uttar pradesh india
 2017-12-30 |     2 |                 PMOIndiaBarabanki u.p. India
 2017-12-30 |     2 |                   OfficeOfRGNew Delhi, India
 2017-12-30 |     2 |              OfficeOfRGBallabgarh, Faridabad
 2017-12-30 |     2 |     MofInteriorPKDubai, United Arab Emirates
 2017-12-30 |     2 |                   MaryamNSharifUnited States
 2017-12-30 |     2 |                Manekagandhibjpनई दिल्ली, भारत
 2017-12-30 |     2 |       JahangirKTareenRahim Yar Khan Pakistan
 2017-12-30 |     2 |                Dev_Fadnavisvidisha mp India 
 2017-12-30 |     2 |         CMShehbazDubai, United Arab Emirates
 2017-12-30 |     2 |              CMOMaharashtravidisha mp India 
 2017-12-30 |     2 |                           BJP4IndiaBangalore
 2017-12-30 |     2 |                           BJP4Himachaljaipur
 2017-12-30 |     2 |                   Ashabachchanhubli, dharwad
 2017-12-30 |     2 |                               AmitShahjaipur
 2017-12-30 |     2 |            AmitShahBasti uttar pradesh india
 2017-12-30 |     2 |                    AamAadmiPartyRatia, India
 2017-12-30 |     2 |                                     ANI~भारत
 2017-12-30 |     1 |                    yadavtejashwiBihar, India
 2017-12-30 |     1 |                 yadavsunanda08hubli, dharwad
 2017-12-30 |     1 |               yadavakhileshsome whr on earth
 2017-12-30 |     1 |                  withMRCCChhattisgarh, Delhi
 2017-12-30 |     1 |                              vishy64theking✈️
 2017-12-30 |     1 |                  vishy64thekingराजस्थान, भारत
 2017-12-30 |     1 |    vishy64thekingमायापूरी, UP - Corrupt India
 2017-12-30 |     1 |                vishy64thekingTwitter-Pradesh
 2017-12-30 |     1 |               vishy64thekingNew Delhi, India
 2017-12-30 |     1 | vishy64thekingNawalgarh, jhunjhunu rajasthan
 2017-12-30 |     1 |       vishy64thekingFerozepur ,Punjab ,India
 2017-12-30 |     1 |      vishy64thekingBasti uttar pradesh india
 2017-12-30 |     1 |                    vikasm12345hubli, dharwad
 2017-12-30 |     1 |       vikasm12345Kopar Khairane, Navi Mumbai
 2017-12-30 |     1 |      vijayrupanibjpBasti uttar pradesh india
 2017-12-30 |     1 |                              tsrawatbjpIndia
 2017-12-30 |     1 |                               timesofindia🇫🇷
 2017-12-30 |     1 |                timesofindiaTrês Rios, Brasil
 2017-12-30 |     1 |                timesofindiaJammu And Kashmir
 2017-12-30 |     1 |                        timesofindiaHyderabad
 2017-12-30 |     1 |                 timesofindiaBangalore, India
 2017-12-30 |     1 |                             the_hinduMumbai 
 2017-12-30 |     1 |                 the_hinduCentre of Gravity 🌍
 2017-12-30 |     1 |                    the_hinduBristol, England
 2017-12-30 |     1 |                the_hinduBengaluru, Karnataka
 2017-12-30 |     1 |                    the_hinduBengaluru, India
 2017-12-30 |     1 |                    tagesschauCalifornia, USA
 2017-12-30 |     1 |                       sudhirchaudharyKOLKATA
 2017-12-30 |     1 |    smritiiraniNawalgarh, jhunjhunu rajasthan
 2017-12-30 |     1 |                             smritiiraniIndia
 2017-12-30 |     1 |                         smritiiraniGopalganj
 2017-12-30 |     1 |         smritiiraniBasti uttar pradesh india
 2017-12-30 |     1 |                         smritiiraniAustralia

---MORE---
 date       | count | men_loc
------------+-------+--------------------------------------------
 2017-12-30 |     1 |     sardesairajdeepNew Delhi, jamia millia
 2017-12-30 |     1 |             sanjaynirupamJamshedpur, India
 2017-12-30 |     1 |           sanjaynirupamChhattisgarh, Delhi
 2017-12-30 |     1 |                          rsprasadbangalore
 2017-12-30 |     1 |                     rsprasadManawar, India
 2017-12-30 |     1 |             rsprasadHindvi Swaraj - 142364
 2017-12-30 |     1 |                           rsprasadChittoor
 2017-12-30 |     1 |          rsprasadBasti uttar pradesh india
 2017-12-30 |     1 |             rsprasad20.5937° N, 78.9629° E
 2017-12-30 |     1 |                             rossjuddboston
 2017-12-30 |     1 |                        raosahebdanvejaipur
 2017-12-30 |     1 |              rajnathsinghAurangabad, India
 2017-12-30 |     1 |                    ppbajpaiBilaspur, India
 2017-12-30 |     1 |          poonam_mahajanChattisgarh , India
 2017-12-30 |     1 |                   pmln_orgLahore, Pakistan
 2017-12-30 |     1 |                         pmln_orgIslamabad 
 2017-12-30 |     1 |                         nsuiTitabor, India
 2017-12-30 |     1 |                        nsuiLudhiana, India
 2017-12-30 |     1 |                         nsuiJodhpur, India
 2017-12-30 |     1 |                      nsuiJamshedpur, India
 2017-12-30 |     1 |                                  nsuiIndia
 2017-12-30 |     1 |                  nsuiBallabgarh, Faridabad
 2017-12-30 |     1 |           nstomarBasti uttar pradesh india
 2017-12-30 |     1 |                                  ndtvindia
 2017-12-30 |     1 |                                  ndtvQatar
 2017-12-30 |     1 |              ndtvMissouri/Gloucester/India
 2017-12-30 |     1 |                                  ndtvIndia
 2017-12-30 |     1 |                              ndtvHyderabad
 2017-12-30 |     1 |                                ndtvGermany
 2017-12-30 |     1 |                            ndtvDelhi,india
 2017-12-30 |     1 |                 ndtvCity of London, London
 2017-12-30 |     1 |                            ndtvChicago, IL
 2017-12-30 |     1 |           ndtvBandipore, Jammu And Kashmir
 2017-12-30 |     1 |                  ndtvBalochistan, Pakistan
 2017-12-30 |     1 |                              narendramodi✈️
 2017-12-30 |     1 |                   narendramodiગુજરાત, ભારત 
 2017-12-30 |     1 |    narendramodiमायापूरी, UP - Corrupt India
 2017-12-30 |     1 |                           narendramodiभारत
 2017-12-30 |     1 |                   narendramodiबोधगया, भारत
 2017-12-30 |     1 |                     narendramodiछपरा, भारत
 2017-12-30 |     1 |         narendramodivadodara,gujarat,india
 2017-12-30 |     1 |              narendramodisome whr on earth
 2017-12-30 |     1 |                         narendramodijaipur
 2017-12-30 |     1 |        narendramodichandawal nagar , India
 2017-12-30 |     1 |                    narendramodibhubaneswar
 2017-12-30 |     1 |                            narendramodiara
 2017-12-30 |     1 |  narendramodiWHERE KNOWLEDGE IS UNBOUNDED 
 2017-12-30 |     1 |                narendramodiTwitter-Pradesh
 2017-12-30 |     1 |                narendramodiSheoganj, India
 2017-12-30 |     1 |              narendramodiShahganj. Jounpur
 2017-12-30 |     1 |                          narendramodiQatar
 2017-12-30 |     1 |                    narendramodiPune, India
 2017-12-30 |     1 |                           narendramodiPune
 2017-12-30 |     1 |               narendramodiNew Delhi, India
 2017-12-30 |     1 |                  narendramodiMumbai, India
 2017-12-30 |     1 |               narendramodiMubarikpur India
 2017-12-30 |     1 |             narendramodiMaharashtra, India
 2017-12-30 |     1 |             narendramodiKṛṣṇa's Lotus Feet
 2017-12-30 |     1 |                 narendramodiKatihar, India
 2017-12-30 |     1 |                  narendramodiJaipur, India
 2017-12-30 |     1 |       narendramodiFerozepur ,Punjab ,India
 2017-12-30 |     1 | narendramodiDeoghar Professors Colony, Deo
 2017-12-30 |     1 |                     narendramodiCoimbatore
 2017-12-30 |     1 |                    narendramodiChicago, IL
 2017-12-30 |     1 |            narendramodiChattisgarh , India
 2017-12-30 |     1 |                   narendramodiBihar, India
 2017-12-30 |     1 |                 narendramodiBharat (India)
 2017-12-30 |     1 |                       narendramodiBasti up
 2017-12-30 |     1 |      narendramodiAdelaide, South Australia
 2017-12-30 |     1 |                    narendramodi  Bengaluru
 2017-12-30 |     1 |                            mygovindiaTheni
 2017-12-30 |     1 |                         mygovindiaChittoor
 2017-12-30 |     1 |                      mujibshami1Islamabad 
 2017-12-30 |     1 |                  msisodiaUttarakhand India
 2017-12-30 |     1 |                            msisodiaGurgaon
 2017-12-30 |     1 |                       mlkhattarहिसार, भारत
 2017-12-30 |     1 |         mlkhattarBasti uttar pradesh india
 2017-12-30 |     1 |                 mishrasugandhaRatia, India
 2017-12-30 |     1 |                          milinddeoraMumbai
 2017-12-30 |     1 |           meerasanyalIndianapolis, IN, USA
 2017-12-30 |     1 |       mayukhrghoshJammu, Jammu And Kashmir
 2017-12-30 |     1 |   manoharparrikarBasti uttar pradesh india
 2017-12-30 |     1 |                laluprasadrjdमहाराष्ट्र, भारत
 2017-12-30 |     1 |             laluprasadrjdPune, Maharashtra
 2017-12-30 |     1 |            laluprasadrjdPithoragarh, India
 2017-12-30 |     1 |                  laluprasadrjdGumia, India
 2017-12-30 |     1 |  laluprasadrjdGHIROR DISTRICT MAINPURI UP 
 2017-12-30 |     1 |                      laluprasadrjdBanda,up
 2017-12-30 |     1 |                 kpmaurya1vidisha mp India 
 2017-12-30 |     1 |         kpmaurya1Basti uttar pradesh india
 2017-12-30 |     1 |              kpmaurya1Barabanki u.p. India
 2017-12-30 |     1 |                     jayantsinha  Bengaluru
 2017-12-30 |     1 |                jairamthakurbjpRatia, India
 2017-12-30 |     1 |            jairamthakurbjpNew Delhi, India
 2017-12-30 |     1 |                          jafarhaandGermany
 2017-12-30 |     1 |   iqrarulhassanDubai, United Arab Emirates
 2017-12-30 |     1 |                           imVkohliPortugal
 2017-12-30 |     1 |                     iRahulSahuदेहरादून, भारत
 2017-12-30 |     1 |          husainhaqqaniLucerne, Switzerland
 2017-12-30 |     1 |                       husainhaqqaniGermany

---MORE---
 date       | count | men_loc
------------+-------+------------------------------------------
 2017-12-30 |     1 |                              htTweetsUSA
 2017-12-30 |     1 |                 firstpostCalifornia, USA
 2017-12-30 |     1 |            faizanlakhaniTry and find it 
 2017-12-30 |     1 |                     eMitraRajasthanIndia
 2017-12-30 |     1 |          drramansinghChattisgarh , India
 2017-12-30 |     1 |           dpradhanbjpChattisgarh , India
 2017-12-30 |     1 |                   dasraghubarझारखंड, भारत
 2017-12-30 |     1 |                     cmohryUdaipur, India
 2017-12-30 |     1 |                     capt_amarinderdausa 
 2017-12-30 |     1 |           bainjalNew Delhi, jamia millia
 2017-12-30 |     1 |                   ashraf_waniफ़तेहपुर, भारत
 2017-12-30 |     1 |  asadmunir38Bandipore, Jammu And Kashmir
 2017-12-30 |     1 |                arvind_nowBerlin, Germany
 2017-12-30 |     1 |                   arunjaitleyगुजरात, भारत
 2017-12-30 |     1 | arunjaitleyWHERE KNOWLEDGE IS UNBOUNDED 
 2017-12-30 |     1 |                         arunjaitleyTheni
 2017-12-30 |     1 |     arunjaitleyBasti uttar pradesh india
 2017-12-30 |     1 |                   anjujunejaRatia, India
 2017-12-30 |     1 |   anjanaomkashyapNew Delhi, jamia millia
 2017-12-30 |     1 |                 anaulhaqLahore, Pakistan
 2017-12-30 |     1 |           alenushkaukhinaहोशियारपुर, भारत
 2017-12-30 |     1 |              alenushkaukhinaHansi, India
 2017-12-30 |     1 |         ajmaljamiSomewhere in this world
 2017-12-30 |     1 |                adeelsherLahore, Pakistan
 2017-12-30 |     1 |                    abpnewstvSavar Kundla
 2017-12-30 |     1 |         abpnewstvNew Delhi, jamia millia
 2017-12-30 |     1 |      abpnewshindiNew Delhi, jamia millia
 2017-12-30 |     1 |          abpnewshindiChattisgarh , India
 2017-12-30 |     1 |                       aajtakગુજરાત, ભારત 
 2017-12-30 |     1 |                        aajtakफ़तेहपुर, भारत
 2017-12-30 |     1 |            aajtakNew Delhi, jamia millia
 2017-12-30 |     1 |                   aajtakNew Delhi, India
 2017-12-30 |     1 |                    aajtakLudhiana, India
 2017-12-30 |     1 |                   aajtakHazaribag, India
 2017-12-30 |     1 |                     aajtakGujarat, India
 2017-12-30 |     1 |                       _DigitalIndiaTheni
 2017-12-30 |     1 |                    _DigitalIndiaChittoor
 2017-12-30 |     1 |            ZeeNewsHindvi Swaraj - 142364
 2017-12-30 |     1 |         ZeeNewsBasti uttar pradesh india
 2017-12-30 |     1 |                      VasundharaBJPjaipur
 2017-12-30 |     1 |     VasundharaBJPchandawal nagar , India
