date       | count | men_loc(mention+location)
 2017-12-30 |     1 |                       VasundharaBJPIndia
 2017-12-30 |     1 |   VasundharaBJPBasti uttar pradesh india
 2017-12-30 |     1 |                    TimesNowMumbai, India
 2017-12-30 |     1 |                    TimesNowKerala, India
 2017-12-30 |     1 |         TimesNowJammu, Jammu And Kashmir
 2017-12-30 |     1 |                 TheniasharmaHansi, India
 2017-12-30 |     1 |      SwetaSinghATNew Delhi, jamia millia
 2017-12-30 |     1 |                            Swamy39ಮೈಸೂರು
 2017-12-30 |     1 |                      Swamy39देहरादून, भारत
 2017-12-30 |     1 |      Swamy39hyderabad, telangana, india.
 2017-12-30 |     1 |                         Swamy39bangalore
 2017-12-30 |     1 |           Swamy39ayodhya, kashi, mathura
 2017-12-30 |     1 |               Swamy39West Ridge, Chicago
 2017-12-30 |     1 |           Swamy39Sydney, New South Wales
 2017-12-30 |     1 |                Swamy39Sanchore Rajasthan
 2017-12-30 |     1 |                        Swamy39Queens, NY
 2017-12-30 |     1 |                    Swamy39Puttur,  India
 2017-12-30 |     1 |                      Swamy39Patna, India
 2017-12-30 |     1 |                     Swamy39Paris, France
 2017-12-30 |     1 |                 Swamy39Newport Beach, CA
 2017-12-30 |     1 |         Swamy39New Jersey, NYC, Tel Aviv
 2017-12-30 |     1 |                        Swamy39New Delhi 
 2017-12-30 |     1 |                         Swamy39NEW DELHI
 2017-12-30 |     1 |                     Swamy39Mumbai, India
 2017-12-30 |     1 |                     Swamy39Michigan, USA
 2017-12-30 |     1 |                          Swamy39Ludhiana
 2017-12-30 |     1 |                   Swamy39Lalitpur, India
 2017-12-30 |     1 |                        Swamy39Islamabad 
 2017-12-30 |     1 |                        Swamy39India,Usa 
 2017-12-30 |     1 |                  Swamy39Gorakhpur, India
 2017-12-30 |     1 |                      Swamy39Florida, USA
 2017-12-30 |     1 |               Swamy39Chhattisgarh, India
 2017-12-30 |     1 |                        Swamy39Chandigarh
 2017-12-30 |     1 |             Swamy39Borivali West, Mumbai
 2017-12-30 |     1 |                         Swamy39Boise, ID
 2017-12-30 |     1 |            Swamy39Bengaluru South, India
 2017-12-30 |     1 |                         Swamy39Bangalore
 2017-12-30 |     1 |                              Swamy39Agra
 2017-12-30 |     1 |       SushmaSwarajsmartcity, Bhubaneswar
 2017-12-30 |     1 |         SushmaSwarajUttar Pradesh, India
 2017-12-30 |     1 |                  SushmaSwarajPune, India
 2017-12-30 |     1 |   SushmaSwarajPeople's Republic of China
 2017-12-30 |     1 |                       SushmaSwarajMumbai
 2017-12-30 |     1 |               SushmaSwarajLucknow, India
 2017-12-30 |     1 |               SushmaSwarajJabalpur. M.p.
 2017-12-30 |     1 |                   SushmaSwarajEdinburgh 
 2017-12-30 |     1 |                     SushmaSwarajBrisbane
 2017-12-30 |     1 |    SushmaSwarajBasti uttar pradesh india
 2017-12-30 |     1 |                              SrBachchan💗
 2017-12-30 |     1 |                         SrBachchanjaipur
 2017-12-30 |     1 |                 SrBachchanUnited Kingdom
 2017-12-30 |     1 |                    SrBachchanSwitzerland
 2017-12-30 |     1 |            SrBachchanSatna..m.p.( India)
 2017-12-30 |     1 |                  SrBachchanMumbai, India
 2017-12-30 |     1 |                         SrBachchanMeerut
 2017-12-30 |     1 |    SrBachchanKopar Khairane, Navi Mumbai
 2017-12-30 |     1 |                   SrBachchanHansi, India
 2017-12-30 |     1 |              SrBachchanChandigarh, India
 2017-12-30 |     1 |          SocialDigitallyLahore, Pakistan

---MORE---
 date       | count | men_loc
------------+-------+----------------------------------------------
 2017-12-30 |     1 |                          ShashiTharoorMumbai
 2017-12-30 |     1 |                 ShashiTharoorLudhiana, India
 2017-12-30 |     1 |                  ShamaJunejoLahore, Pakistan
 2017-12-30 |     1 |                       ShahidHassan57pakistan
 2017-12-30 |     1 |                         ShafaqHeraIslamabad 
 2017-12-30 |     1 |                    Shaahidzsome whr on earth
 2017-12-30 |     1 |              SenRehmanMalikKarachi, Pakistan
 2017-12-30 |     1 |         SecretaryMEITY20.5937° N, 78.9629° E
 2017-12-30 |     1 |               ScorpionAfridiLahore, Pakistan
 2017-12-30 |     1 |                     SanjayTandonBJPNew Delhi
 2017-12-30 |     1 |               SanjayAzadSlnUttarakhand India
 2017-12-30 |     1 | SabirMehmood26خانقاہ قادریہ نقشبندی دریاشریف
 2017-12-30 |     1 |               SabirMehmood26Lahore, Pakistan
 2017-12-30 |     1 |              RashidHashmispeshawar, Pakistan
 2017-12-30 |     1 |             RamPD78Shahdara New Delhi, India
 2017-12-30 |     1 |                                 Ra_THOReभारत
 2017-12-30 |     1 |                            RSSorgbhubaneswar
 2017-12-30 |     1 |                             PiyushGoyalIndia
 2017-12-30 |     1 |                 PandaJayBengaluru, Karnataka
 2017-12-30 |     1 |                      PTIofficialsaudi arabia
 2017-12-30 |     1 |                          PTIofficialpakistan
 2017-12-30 |     1 |                        PTIofficialIslamabad 
 2017-12-30 |     1 |                        PTISPOfficialpakistan
 2017-12-30 |     1 |                          PTIPunjabPKpakistan
 2017-12-30 |     1 |                        PTIKPOfficialpakistan
 2017-12-30 |     1 |                                 PMOIndiaभारत
 2017-12-30 |     1 |                          PMOIndiaगुजरात, भारत
 2017-12-30 |     1 |                    PMOIndiasome whr on earth
 2017-12-30 |     1 |                         PMOIndiaSikar, India
 2017-12-30 |     1 |                      PMOIndiaSheoganj, India
 2017-12-30 |     1 |                        PMOIndiaMumbai, India
 2017-12-30 |     1 |                   PMOIndiaMaharashtra, India
 2017-12-30 |     1 |       PMOIndiaDeoghar Professors Colony, Deo
 2017-12-30 |     1 |                          PMOIndiaChicago, IL
 2017-12-30 |     1 |                         PMOIndiaBihar, India
 2017-12-30 |     1 |               PMOIndia20.5937° N, 78.9629° E
 2017-12-30 |     1 |   OfficialDGISPR1Dubai, United Arab Emirates
 2017-12-30 |     1 |            OfficeOfRGNew Delhi, jamia millia
 2017-12-30 |     1 |                    OfficeOfRGLudhiana, India
 2017-12-30 |     1 |                         NitishKumarbangalore
 2017-12-30 |     1 |                        NitishKumarGopalganj.
 2017-12-30 |     1 |                         NitishKumarGopalganj
 2017-12-30 |     1 |                Nitinbhai_PatelUnited States 
 2017-12-30 |     1 |                 Nihar_NathaniBilaspur, India
 2017-12-30 |     1 |                   NiaSharma_FansHansi, India
 2017-12-30 |     1 |                     NiaSharma_FCHansi, India
 2017-12-30 |     1 |                            NewsXHansi, India
 2017-12-30 |     1 |      Naveen_OdishaBirmaharaj Pur,Subarna Pur
 2017-12-30 |     1 |              NaumanAbdulAzizLahore, Pakistan
 2017-12-30 |     1 |              NITIAayog20.5937° N, 78.9629° E
 2017-12-30 |     1 |                  MonsantoCoNewport Beach, CA
 2017-12-30 |     1 |               MonsantoBioAgNewport Beach, CA
 2017-12-30 |     1 |          MoeedNjBandipore, Jammu And Kashmir
 2017-12-30 |     1 |                       MediaCellPPPIslamabad 
 2017-12-30 |     1 |                  MaryamNSharifsouthampton uk
 2017-12-30 |     1 |                MaryamNSharifPunjab, Pakistan
 2017-12-30 |     1 |                        MaryamNSharifPakistan
 2017-12-30 |     1 |                     MaryamNSharifNew Zealand
 2017-12-30 |     1 |                          MaryamNSharifLondon
 2017-12-30 |     1 |         MaryamNSharifKingdom of Saudi Arabia
 2017-12-30 |     1 |             MaryamNSharifIslamabad, Pakistan
 2017-12-30 |     1 |                      MaryamNSharifIslamabad 
 2017-12-30 |     1 |                           MaryamNSharifEssex
 2017-12-30 |     1 |     MaryamNSharifDubai, United Arab Emirates
 2017-12-30 |     1 |    MaryamNSharifBandipore, Jammu And Kashmir
 2017-12-30 |     1 |                       MaryamNSharifAustralia
 2017-12-30 |     1 |                   MaryamNSharifAthens Greece
 2017-12-30 |     1 |                MaryamNSharifAl Faiha, Kuwait
 2017-12-30 |     1 |               MarchAgainstMNewport Beach, CA
 2017-12-30 |     1 |                           MJSARajasthanIndia
 2017-12-30 |     1 |    LokiOddin0xخانقاہ قادریہ نقشبندی دریاشریف
 2017-12-30 |     1 |                 LodhiMaleehaLahore, Pakistan
 2017-12-30 |     1 |                           KiritSomaiyaMumbai
 2017-12-30 |     1 |               KirenRijijuBirmingham, England
 2017-12-30 |     1 |      KhawajaMAsifDubai, United Arab Emirates
 2017-12-30 |     1 |                     KhSaad_RafiqueIslamabad 
 2017-12-30 |     1 |                        KapilSharmaK9Portugal
 2017-12-30 |     1 |                     JhaSanjayLudhiana, India
 2017-12-30 |     1 |                        JIPOfficialIslamabad 
 2017-12-30 |     1 |             IndianExpressChattisgarh , India
 2017-12-30 |     1 |             IndianCERT20.5937° N, 78.9629° E
 2017-12-30 |     1 |                             IndiaTodayMumbai
 2017-12-30 |     1 |               IndiaTodayDowntown, Washington
 2017-12-30 |     1 |                         ImranKhanPTIpakistan
 2017-12-30 |     1 |                      ImranKhanPTISchertz, TX
 2017-12-30 |     1 |          ImranKhanPTIMilton , Ontario CANADA
 2017-12-30 |     1 |                ImranKhanPTIKarachi, pakistan
 2017-12-30 |     1 |              ImranKhanPTIIslamabad, Pakistan
 2017-12-30 |     1 |                     ImranKhanPTIHatfield, UK
 2017-12-30 |     1 |     ImranKhanPTIGlasgow, Scotland / Pakistan
 2017-12-30 |     1 |             ImranKhanPTIFaisalabad, Pakistan
 2017-12-30 |     1 |             ImranKhanPTIDammam Saudi Arabia 
 2017-12-30 |     1 |                  ImranKhanPTICalifornia, USA
 2017-12-30 |     1 |                           INCIndiaमधुबन, भारत
 2017-12-30 |     1 |                       INCIndiaTitabor, India
 2017-12-30 |     1 |                    INCIndiaJamshedpur, India
 2017-12-30 |     1 |                                INCIndiaIndia
 2017-12-30 |     1 |                INCIndiaBallabgarh, Faridabad
 2017-12-30 |     1 |                 HorseHourNorth West, England
 2017-12-30 |     1 |                 HistoryToLearnWarsaw, Poland

---MORE---
 date       | count | men_loc
------------+-------+-----------------------------------------
 2017-12-30 |     1 |                 HistoryToLearnHyderabad
 2017-12-30 |     1 |                    HarsimratBadal_India
 2017-12-30 |     1 |               HamidMirPAKکراچی, پاکستان
 2017-12-30 |     1 |      HamidMirPAKSomewhere in this world
 2017-12-30 |     1 |                    HamidMirPAKMelbourne
 2017-12-30 |     1 |              HamidMirPAKLondon, England
 2017-12-30 |     1 |                       HamidMirPAKLondon
 2017-12-30 |     1 |             HamidMirPAKLahore, Pakistan
 2017-12-30 |     1 |            HamidMirPAKBradford, England
 2017-12-30 |     1 |                           HMOIndiaIndia
 2017-12-30 |     1 |                          GoI_MeitYTheni
 2017-12-30 |     1 |                       GoI_MeitYChittoor
 2017-12-30 |     1 |         FWClothingUKNorth West, England
 2017-12-30 |     1 |                  EconomicTimesallahabad
 2017-12-30 |     1 |              EconomicTimesThane, Mumbai
 2017-12-30 |     1 |          DrJitendraSinghSheoganj, India
 2017-12-30 |     1 |                          DhumalHPSHIMLA
 2017-12-30 |     1 |            Dev_FadnavisNew Delhi, India
 2017-12-30 |     1 |    DeependerSHoodaBallabgarh, Faridabad
 2017-12-30 |     1 |                      DIPRRajasthanIndia
 2017-12-30 |     1 |                     ChouhanShivrajIndia
 2017-12-30 |     1 | ChouhanShivrajBasti uttar pradesh india
 2017-12-30 |     1 |               CMShehbazPunjab, Pakistan
 2017-12-30 |     1 |          CMOfficeUPBarabanki u.p. India
 2017-12-30 |     1 |    CMO_OdishaBirmaharaj Pur,Subarna Pur
 2017-12-30 |     1 |               CMOMaharashtraपिंपरी चिंचवड
 2017-12-30 |     1 |                    CMMadhyaPradeshIndia
 2017-12-30 |     1 |                 Bihar_BJPKatihar, India
 2017-12-30 |     1 |                 BJPINDIA7Katihar, India
 2017-12-30 |     1 |                   BJP4Maharashtrajaipur
 2017-12-30 |     1 |        BJP4Indiachandawal nagar , India
 2017-12-30 |     1 |                    BJP4Indiaajit Kumar 
 2017-12-30 |     1 |              BJP4IndiaSydney, Australia
 2017-12-30 |     1 |                   BJP4IndiaRatia, India
 2017-12-30 |     1 |             BJP4IndiaNew Delhi, India🇮🇳
 2017-12-30 |     1 |                  BJP4IndiaMysore, India
 2017-12-30 |     1 |             BJP4IndiaMaharashtra, India
 2017-12-30 |     1 |               BJP4IndiaKozhikode, India
 2017-12-30 |     1 |                 BJP4IndiaKatihar, India
 2017-12-30 |     1 |                     BJP4IndiaIndia,Usa 
 2017-12-30 |     1 |               BJP4IndiaHyderabad, India
 2017-12-30 |     1 |                       BJP4IndiaFirozabd
 2017-12-30 |     1 |                    BJP4IndiaChicago, IL
 2017-12-30 |     1 |            BJP4IndiaChattisgarh , India
 2017-12-30 |     1 |               BJP4IndiaBengaluru, India
 2017-12-30 |     1 |         BJP4IndiaBengaluru South, India
 2017-12-30 |     1 |          BJP4IndiaAuckland, New Zealand
 2017-12-30 |     1 | BJP4IndiaAndaman Nicobar Islands, India
 2017-12-30 |     1 |                           BJP4IndiaAgra
 2017-12-30 |     1 |                   BJP4India वसुधैव कुटुम्बकम
 2017-12-30 |     1 |                 BJP4Himachalajit Kumar 
 2017-12-30 |     1 |          BJP4HimachalMaharashtra, India
 2017-12-30 |     1 |                    BJP4HimachalFirozabd
 2017-12-30 |     1 |    BJP4GujaratBasti uttar pradesh india
 2017-12-30 |     1 |               BBhuttoZardariOntario, CA
 2017-12-30 |     1 |    AsimBajwaISPRRahim Yar Khan Pakistan
 2017-12-30 |     1 |                         Asad_UmarLahore
 2017-12-30 |     1 |         ArvindKejriwalUttarakhand India
 2017-12-30 |     1 |           ArvindKejriwalBilaspur, India
 2017-12-30 |     1 |            ArchanaDalmiaLudhiana, India
 2017-12-30 |     1 |                   AnushkaSharmaPortugal
 2017-12-30 |     1 |                   AmitShahराजस्थान, भारत
 2017-12-30 |     1 |         AmitShahchandawal nagar , India
 2017-12-30 |     1 |                     AmitShahajit Kumar 
 2017-12-30 |     1 |  AmitShahNawalgarh, jhunjhunu rajasthan
 2017-12-30 |     1 |              AmitShahMaharashtra, India
 2017-12-30 |     1 |                    AmitShahGumia, India
 2017-12-30 |     1 |                        AmitShahFirozabd
 2017-12-30 |     1 |             AmitShahChattisgarh , India
 2017-12-30 |     1 |                  AmitShahBharat (India)
 2017-12-30 |     1 |           AliSohrab007some whr on earth
 2017-12-30 |     1 |                    AliHZaidiPTIpakistan
 2017-12-30 |     1 |                 Ahmad_NooraniIslamabad 
 2017-12-30 |     1 |       AbsarAlamHaiderpeshawar, Pakistan
 2017-12-30 |     1 |             AbidSherAliLahore, Pakistan
 2017-12-30 |     1 |  AamAadmiPartyShahdara New Delhi, India
 2017-12-30 |     1 |               AamAadmiPartySan Jose, CA
 2017-12-30 |     1 |           AamAadmiPartyNew Delhi, Delhi
 2017-12-30 |     1 |                     AamAadmiParty India
 2017-12-30 |     1 |                        ANIsamdari,India
 2017-12-30 |     1 |                             ANIVadodara
 2017-12-30 |     1 |                    ANITamil Nadu, India
 2017-12-30 |     1 |                       ANIPuttur,  India
 2017-12-30 |     1 |                          ANIPune, India
 2017-12-30 |     1 |                          ANIBharat Mata
 2017-12-30 |     1 |                     ANIBengaluru, India
 2017-12-30 |     1 |                  ANIAlways Moving Ahead
 2017-12-30 |     1 |              AMITADAHEUR2hubli, dharwad
 2017-12-30 |     1 |              ABCCardinalCalifornia, USA
 2017-12-30 |     1 |               AAPExpressBilaspur, India
